Election,Scottish STV Winners,Adaptive Quota STV Winners,Meek STV Winners,Chamberlin-Courant Winners,Greedy Chamberlin-Courant Winners,Expanding Approvals Winners,CPO-STV Winners
fife_2022_ward21.csv,"[1, 3, 7, 2]","[1, 3, 2, 7]","[1, 3, 2, 7]","[1, 2, 3, 5]","[1, 3, 2, 5]","[1, 3, 2, 7]","[1, 2, 3, 7]"
fife_2022_ward22.csv,"[4, 5, 7, 1]","[4, 5, 7, 1]","[4, 5, 1, 7]","[1, 4, 5, 7]","[4, 5, 1, 7]","[4, 5, 7, 1]","[1, 4, 5, 7]"
fife_2022_ward6.csv,"[1, 3, 8, 6]","[1, 3, 6, 8]","[1, 3, 6, 8]","[1, 2, 3, 6]","[1, 6, 3, 2]","[1, 6, 3, 8]","[1, 3, 6, 8]"
fife_2022_ward8.csv,"[2, 5, 3, 6]","[2, 5, 3, 6]","[2, 5, 3, 6]","[2, 3, 4, 5]","[2, 5, 3, 4]","[2, 5, 3, 6]","[2, 3, 5, 6]"
glasgow_2007_langside.csv,"[2, 4, 1]","[2, 4, 1]","[2, 4, 1]","[1, 2, 4]","[4, 2, 1]","[2, 4, 1]","[1, 2, 4]"
glasgow_2007_maryhill.csv,"[1, 8, 3, 5]","[1, 8, 3, 5]","[1, 8, 3, 5]","[1, 3, 5, 8]","[1, 8, 3, 5]","[1, 8, 3, 5]","[1, 3, 5, 8]"
glasgow_2012_ward15.csv,"[3, 6, 5, 7]","[3, 6, 5, 7]","[3, 6, 5, 7]","[1, 3, 5, 6]","[6, 3, 1, 5]","[6, 3, 5, 7]","[3, 5, 6, 7]"
glasgow_2012_ward6.csv,"[8, 3, 6]","[8, 3, 6]","[8, 3, 6]","[3, 6, 8]","[3, 8, 6]","[4, 8, 3]","[3, 6, 8]"
glasgow_2012_ward7.csv,"[1, 4, 5]","[1, 4, 5]","[1, 4, 6]","[1, 4, 5]","[4, 1, 5]","[4, 1, 5]","[1, 4, 6]"
glasgow_2017_ward11.csv,"[7, 3, 1]","[7, 1, 3]","[7, 1, 3]","[1, 3, 7]","[7, 3, 1]","[7, 1, 3]","[1, 3, 7]"
glasgow_2017_ward21.csv,"[2, 5, 7]","[2, 5, 7]","[2, 5, 7]","[2, 4, 5]","[2, 5, 4]","[2, 5, 3]","[2, 5, 7]"
glasgow_2017_ward6.csv,"[3, 4, 6, 5]","[3, 4, 6, 5]","[3, 4, 6, 7]","[3, 4, 5, 6]","[3, 4, 6, 5]","[3, 4, 6, 7]","[3, 4, 6, 7]"
glasgow_2022_ward13.csv,"[1, 2, 4, 6]","[1, 2, 4, 6]","[1, 2, 4, 6]","[1, 2, 5, 7]","[1, 2, 5, 7]","[1, 2, 6, 7]","[1, 2, 4, 6]"
glasgow_2022_ward15.csv,"[6, 7, 1]","[6, 1, 7]","[6, 1, 7]","[1, 6, 7]","[6, 7, 1]","[6, 1, 7]","[1, 6, 7]"
glasgow_2022_ward17.csv,"[1, 4, 2, 8]","[1, 4, 2, 8]","[1, 4, 2, 8]","[1, 2, 4, 7]","[4, 1, 7, 2]","[4, 1, 2, 8]","[1, 2, 4, 8]"
glasgow_2022_ward19.csv,"[2, 4, 6, 3]","[2, 4, 6, 3]","[2, 4, 6, 8]","[2, 3, 4, 6]","[4, 2, 3, 6]","[2, 4, 6, 8]","[2, 4, 6, 8]"
glasgow_2022_ward21.csv,"[1, 3, 2]","[1, 3, 2]","[1, 3, 2]","[1, 3, 8]","[1, 3, 8]","[1, 3, 2]","[1, 2, 3]"
highland_2012_ward12.csv,"[1, 2, 3]","[1, 2, 3]","[1, 2, 3]","[1, 2, 5]","[2, 1, 5]","[2, 1, 3]","[1, 2, 3]"
highland_2012_ward13.csv,"[3, 4, 1, 8]","[3, 4, 1, 8]","[3, 4, 1, 8]","[1, 3, 4, 8]","[3, 4, 8, 1]","[3, 4, 1, 8]","[1, 3, 4, 8]"
highland_2012_ward14.csv,"[4, 8, 1]","[4, 8, 1]","[4, 8, 1]","[1, 4, 8]","[8, 1, 4]","[4, 1, 8]","[1, 4, 8]"
highland_2012_ward19.csv,"[6, 3, 4, 5]","[6, 3, 4, 5]","[6, 3, 4, 5]","[1, 3, 4, 6]","[6, 3, 4, 1]","[6, 3, 4, 5]","[3, 4, 5, 6]"
highland_2012_ward20.csv,"[6, 4, 5, 8]","[6, 4, 5, 8]","[6, 4, 5, 8]","[4, 5, 6, 7]","[4, 6, 5, 7]","[6, 4, 5, 8]","[4, 5, 6, 8]"
