Election,Scottish STV Winners,Meek STV Winners,Chamberlin-Courant (OM) Winners,Chamberlin-Courant (PM) Winners,Expanding Approvals Winners
north_ayrshire_2017_ward9.csv,"[5, 3, 4]","[5, 3, 4]","[2, 3, 5]","[2, 3, 5]","[5, 3, 4]"
north_ayrshire_2022_ardrossan.csv,"[2, 4, 1]","[2, 4, 1]","[1, 2, 4]","[1, 2, 4]","[2, 4, 3]"
north_ayrshire_2022_irvine_east.csv,"[1, 6, 7]","[1, 6, 7]","[1, 6, 7]","[1, 6, 7]","[1, 6, 7]"
north_ayrshire_2022_irvine_south.csv,"[5, 2, 6]","[5, 2, 3]","[2, 5, 6]","[2, 5, 6]","[5, 2, 7]"
north_lanarkshire_2012_ward17.csv,"[5, 4, 3, 1]","[5, 4, 3, 1]","[1, 3, 4, 5]","[1, 3, 4, 5]","[5, 4, 1, 3]"
north_lanarkshire_2012_ward5.csv,"[1, 2, 4, 7]","[1, 2, 4, 7]","[1, 2, 5, 7]","[1, 2, 5, 7]","[1, 2, 4, 3]"
north_lanarkshire_2012_ward7.csv,"[2, 4, 5, 7]","[2, 4, 5, 7]","[2, 3, 4, 5]","[2, 3, 4, 5]","[5, 2, 4, 7]"
north_lanarkshire_2017_ward1.csv,"[2, 6, 5]","[2, 6, 5]","[1, 2, 5]","[1, 2, 5]","[2, 5, 6]"
north_lanarkshire_2017_ward13.csv,"[2, 3, 7, 6]","[2, 3, 6, 7]","[2, 3, 4, 7]","[2, 3, 4, 7]","[3, 2, 7, 6]"
north_lanarkshire_2017_ward15.csv,"[4, 6, 3, 2]","[4, 6, 2, 3]","[2, 4, 6, 7]","[2, 4, 6, 7]","[4, 6, 3, 7]"
north_lanarkshire_2017_ward17.csv,"[3, 2, 7]","[3, 2, 7]","[2, 3, 7]","[2, 3, 7]","[7, 3, 2]"
north_lanarkshire_2017_ward21.csv,"[3, 2, 1, 4]","[3, 2, 1, 4]","[1, 2, 3, 5]","[1, 2, 3, 5]","[3, 2, 5, 4]"
